country,country_iso3,calidad_de_vida_y_bienestar,economia_y_costo_de_vida,salud_publica,vivienda_y_urbanismo,medioambiente_y_sostenibilidad,seguridad_y_criminalidad,gobernanza_y_libertades,migracion_y_movilidad,clima_y_desastres
Nicaragua,NIC,46.15,41.04,66.01,69.67,72.34,61.01,27.65,45.47,45.04
Niger,NER,33.79,50.7,22.86,0.0,69.06,-1.0,52.0,13.81,29.9
Nigeria,NGA,36.39,33.67,12.53,85.62,60.7,35.01,41.83,8.76,38.84
North Korea,PRK,-1.0,55.64,-1.0,-1.0,-1.0,-1.0,11.74,6.65,55.42
North Macedonia,MKD,54.5,9.79,79.78,72.25,66.25,60.49,66.08,47.3,70.68
Northern Cyprus,CTU,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.01,-1.0,-1.0
Norway,NOR,75.91,70.48,92.49,47.07,75.93,78.1,98.31,81.19,71.41
OECS,CSS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.36,-1.0,-1.0
Oman,OMN,-1.0,69.36,81.08,91.27,28.35,79.86,29.27,39.27,79.97
Pakistan,PAK,35.74,39.85,31.34,81.04,43.77,46.71,34.86,6.31,59.79
Palau,PLW,-1.0,38.72,68.57,-1.0,76.72,-1.0,92.0,45.16,-1.0
Palestinian Territories,PSE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.86,18.22,-1.0
Panama,PAN,58.01,55.41,76.24,54.23,68.99,59.86,71.48,57.2,65.01
Papua New Guinea,PNG,-1.0,53.17,20.52,73.79,85.15,21.53,59.66,26.34,15.33
Paraguay,PRY,54.93,49.64,66.98,74.69,78.03,55.9,56.6,54.75,82.33
Peru,PER,55.45,57.89,69.96,83.43,78.69,37.68,62.03,54.4,56.87
Philippines,PHL,54.92,47.74,43.03,75.53,70.32,49.29,50.87,17.91,25.07
Poland,POL,67.75,46.79,90.12,42.97,73.36,77.88,74.76,76.77,71.0
Portugal,PRT,68.88,51.34,89.91,72.98,81.22,72.12,91.0,79.23,82.62
Puerto Rico,PRI,43.17,-1.0,73.28,65.27,74.54,37.37,89.0,-1.0,-1.0
Qatar,QAT,59.45,92.92,83.82,65.91,24.87,88.69,38.7,53.41,83.85
Republic of the Congo,COG,36.51,51.33,25.17,89.97,70.42,-1.0,15.13,11.12,71.01
Romania,ROU,65.23,46.45,81.73,34.41,71.82,78.51,75.98,74.33,63.24
Russia,RUS,56.08,42.83,81.52,26.58,69.24,57.2,24.71,41.67,64.39
Rwanda,RWA,-1.0,58.16,48.21,81.64,67.13,-1.0,37.6,19.38,66.62
Saint Kitts and Nevis,KNA,-1.0,53.56,-1.0,-1.0,55.02,-1.0,-1.0,40.15,-1.0
Saint Lucia,LCA,-1.0,35.97,73.73,75.42,65.08,-1.0,92.0,55.96,84.57
Saint Vincent and the Grenadines,VCT,-1.0,35.95,-1.0,-1.0,-1.0,-1.0,-1.0,33.55,94.03
Samoa,WSM,-1.0,48.13,60.42,52.71,-1.0,-1.0,81.54,47.66,78.47
San Marino,SMR,-1.0,61.75,91.2,77.12,-1.0,-1.0,95.0,68.93,-1.0
Sao Tome and Principe,STP,-1.0,-1.0,51.48,-1.0,79.05,-1.0,84.0,15.09,95.91
Saudi Arabia,SAU,56.62,59.67,79.81,88.24,23.28,68.57,19.22,38.68,81.71
Senegal,SEN,45.83,35.36,43.06,82.91,46.25,-1.0,63.85,15.04,64.84
Serbia,SRB,59.75,34.22,81.07,68.66,66.89,64.66,58.64,52.5,73.22
Seychelles,SYC,-1.0,52.58,80.25,93.82,87.79,-1.0,71.73,61.7,89.63
Sierra Leone,SLE,25.46,41.85,13.63,89.75,78.21,-1.0,57.86,16.76,60.86
Singapore,SGP,72.87,75.89,89.92,32.84,59.67,82.41,52.32,85.33,84.02
Slovakia,SVK,66.68,45.3,88.22,39.99,67.56,76.96,85.09,76.61,76.68
Slovenia,SVN,71.81,55.14,90.91,65.34,64.89,83.89,82.5,78.97,88.44
Solomon Islands,SLB,-1.0,70.73,49.24,100.0,99.43,-1.0,79.0,48.7,23.05
Somalia,SOM,-1.0,16.59,8.02,68.0,72.46,-1.0,18.37,6.01,-1.0
South Africa,ZAF,50.34,30.86,43.85,68.01,57.52,26.93,77.99,35.25,72.54
South Korea,KOR,68.03,60.77,96.69,34.67,37.92,78.2,78.18,74.8,68.11
South Sudan,SSD,-1.0,34.13,10.73,96.41,69.03,-1.0,18.52,9.03,-1.0
Spain,ESP,71.66,41.83,91.07,70.92,79.32,74.48,85.47,81.33,78.7
Sri Lanka,LKA,41.06,36.67,73.54,43.48,77.29,49.97,49.72,6.26,58.87
Sudan,SDN,-1.0,17.82,40.44,95.31,69.19,-1.0,18.73,7.95,61.77
Suriname,SUR,-1.0,27.65,67.29,53.92,79.39,-1.0,71.21,25.01,72.91
Sweden,SWE,76.48,60.36,90.98,49.42,83.51,64.91,95.85,82.54,74.69
Switzerland,CHE,74.77,73.15,93.6,50.9,75.32,83.91,92.94,84.95,76.13
Syria,SYR,-1.0,27.16,59.83,97.31,70.89,24.0,9.53,6.77,83.39
Taiwan,TWN,66.96,-1.0,-1.0,49.07,42.09,87.99,84.85,-1.0,81.52
Tajikistan,TJK,44.26,22.71,69.11,82.84,62.89,-1.0,19.81,13.71,70.84
Tanzania,TZA,35.04,58.8,29.18,87.7,76.25,51.56,40.76,18.36,63.99
Thailand,THA,58.05,55.1,75.84,67.36,71.44,57.45,37.54,24.52,54.75
Timor-Leste,TLS,-1.0,-1.0,40.95,93.79,-1.0,-1.0,71.0,35.55,35.93
Togo,TGO,31.89,56.35,24.93,87.46,77.44,-1.0,45.56,15.71,58.86
Tonga,TON,-1.0,51.9,70.26,-1.0,-1.0,-1.0,75.4,47.08,24.87
Trinidad and Tobago,TTO,-1.0,59.48,75.81,-1.0,48.15,-1.0,77.25,56.23,71.69
Tunisia,TUN,44.24,20.12,76.27,91.53,74.89,55.7,59.0,18.82,85.92
Turkey,TUR,50.47,20.05,81.52,53.65,71.64,60.87,26.7,41.75,66.46
Turkmenistan,TKM,-1.0,51.38,67.26,88.57,41.8,-1.0,9.84,10.31,85.93
Tuvalu,TUV,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,93.0,46.14,-1.0
Uganda,UGA,35.53,63.84,28.5,96.24,69.16,-1.0,34.8,18.63,64.89
Ukraine,UKR,50.77,28.4,70.86,35.37,73.62,52.43,58.4,57.23,72.44
United Arab Emirates,ARE,63.6,85.43,82.55,60.29,28.85,84.45,32.25,90.77,78.8
United Kingdom,GBR,72.81,62.73,88.42,56.67,78.23,66.02,88.37,76.95,75.6
United States,USA,69.77,52.62,85.81,66.55,60.05,50.25,81.27,75.21,80.37
Uruguay,URY,65.31,40.19,82.0,69.49,83.91,52.8,86.54,60.47,61.3
Uzbekistan,UZB,49.37,37.73,75.39,69.52,55.91,82.25,22.89,16.38,73.14
Vanuatu,VUT,-1.0,56.87,50.5,78.02,-1.0,-1.0,82.0,28.61,22.47
Vatican,VAT,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.65,-1.0
Venezuela,VEN,41.89,26.86,61.03,63.83,67.77,23.61,19.35,42.71,65.38
Vietnam,VNM,55.82,52.05,67.15,41.62,64.36,57.49,23.95,10.53,46.55
Yemen,YEM,22.89,24.67,37.19,83.09,41.85,-1.0,15.87,6.43,70.12
Zambia,ZMB,30.48,52.04,27.79,91.5,82.03,-1.0,50.09,17.01,68.19
Zimbabwe,ZWE,25.41,63.7,32.13,98.52,79.89,38.01,30.38,16.17,54.73
