country,country_iso3,category,variable,source,raw_value,normalized_score,weight,primary
Philippines,PHL,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.02854230377166157,62.9346,0.3,True
Poland,POL,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,7.876323751891074,0.0,0.2,False
Poland,POL,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,8.43825,84.3825,0.3,True
Poland,POL,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.048493377573796265,30.2003,0.3,True
Portugal,PRT,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,1.6060287212718636,70.7142,0.2,False
Portugal,PRT,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,7.421750000000001,74.2175,0.3,True
Portugal,PRT,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.022259236826165957,73.2434,0.3,True
Puerto Rico,PRI,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,1.8976138763197585,64.5912,0.2,False
Puerto Rico,PRI,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,7.427500000000001,74.275,0.3,True
Puerto Rico,PRI,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.03233530997497538,56.7113,0.3,True
Qatar,QAT,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.5096316153664572,93.7373,0.2,False
Qatar,QAT,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,2.1315,21.315,0.3,True
Qatar,QAT,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.010848978215083856,91.9645,0.3,True
Republic of the Congo,COG,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.9238500000000001,85.0392,0.2,False
